goal_type,horizon_steps,horizon_seconds,policy_seed,episodes,evaluation_seed_start,success,success_ci_low,success_ci_high,final_reward,max_reward,teacher_action_mae,validation_action_mae,one_step_object_subgoal_error_m,one_step_yaw_subgoal_error_rad,one_step_tcp_subgoal_error_m,valid_goal_action_sensitivity_l2,replay_current_state_error_max,success_fraction_of_full
flat,2,0.1,0,20,1600000,0.25,0.11186170140766569,0.468700877618744,0.42598776107188313,0.4342603087425232,0.1578602475959216,0.054262638092041016,,,,,0.0,0.3333333333333333
full,2,0.1,0,20,1600000,0.75,0.531299122381256,0.8881382985923343,0.8246988862752914,0.8260342173278332,0.02947786294209416,0.022242534905672073,0.004167735267969621,0.03075754965701552,0.02092552122724989,1.850005865097046,0.0,1.0
robot,2,0.1,0,20,1600000,0.6,0.3865815007622531,0.781193467627183,0.721566291898489,0.7249681763350964,0.029294617014950928,0.02238868735730648,0.0037942275558014715,0.027438724498486364,0.018603504597443785,2.0849204063415527,0.0,0.7999999999999999
tcp,2,0.1,0,20,1600000,0.5,0.2992980081982123,0.7007019918017877,0.6494352862238884,0.6514408364892006,0.06050071258070162,0.04229417070746422,0.003564640114426148,0.025361367910898748,0.017645361333719325,0.7740233540534973,0.0,0.6666666666666666
object,2,0.1,0,20,1600000,0.4,0.21880653237281705,0.6134184992377469,0.5544051473494619,0.5711643166840077,0.11308066142042247,0.048716962337493896,0.003748576702709233,0.024596235331367042,0.024360787799987373,0.4424525201320648,0.0,0.5333333333333333
object_pose,2,0.1,0,20,1600000,0.25,0.11186170140766569,0.468700877618744,0.4438264284282923,0.46260284036397936,0.13528938961080342,0.05050069838762283,0.004052406535446005,0.030589593527973562,0.022641473069446003,0.6816731691360474,0.0,0.3333333333333333
flat,5,0.25,0,20,1600000,0.2,0.08065766257979806,0.41601743225189364,0.3974112754687667,0.4137606717646122,0.1809187779929791,0.05716070532798767,,,,,0.0,0.36363636363636365
full,5,0.25,0,20,1600000,0.55,0.34208534245034233,0.7418021417443759,0.6734771586023272,0.6895738333463669,0.09312779093680991,0.047562748193740845,0.01810013391834173,0.12592292407785322,0.06751461925497826,0.8008733987808228,0.0,1.0
robot,5,0.25,0,20,1600000,0.3,0.1454772448676043,0.5189728183535235,0.5122886069118977,0.516689307242632,0.05897263471400861,0.050260987132787704,0.011784167394287053,0.09011000641704311,0.05380404281070712,0.7398008108139038,0.0,0.5454545454545454
tcp,5,0.25,0,20,1600000,0.25,0.11186170140766569,0.468700877618744,0.4484005205333233,0.4540067330002785,0.0921618085829997,0.05445728451013565,0.00981111973320885,0.0787907667926975,0.058163294344375206,0.4561496376991272,0.0,0.45454545454545453
